time,Actual Load,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore,renewable
2020-01-08 10:00:00+01:00,19581.0,0.0,8532.0,0.0,7783.0,1255.0,0.0,6782.0,15314.0
2020-01-08 11:00:00+01:00,19416.0,0.0,8593.0,0.0,7785.0,1259.0,0.0,6685.0,15278.0
2020-01-08 12:00:00+01:00,19116.0,0.0,8733.0,0.0,7786.0,1251.0,0.0,6436.0,15169.0
2020-01-08 13:00:00+01:00,19187.0,0.0,8728.0,0.0,7788.0,1258.0,0.0,6321.0,15049.0
2020-01-08 14:00:00+01:00,19175.0,0.0,8994.0,0.0,7785.0,1251.0,0.0,6173.0,15167.0
2020-01-08 15:00:00+01:00,19667.0,0.0,9144.0,0.0,7787.0,1251.0,0.0,6216.0,15360.0
2020-01-08 16:00:00+01:00,20141.0,0.0,9244.0,0.0,7785.0,1244.0,0.0,6295.0,15539.0
2020-01-08 17:00:00+01:00,20223.0,0.0,9168.0,0.0,7787.0,1252.0,0.0,6322.0,15490.0
2020-01-08 18:00:00+01:00,19927.0,0.0,8933.0,0.0,7790.0,1256.0,0.0,6431.0,15364.0
2020-01-08 19:00:00+01:00,19470.0,0.0,8601.0,0.0,7790.0,1248.0,0.0,6400.0,15001.0
2020-01-08 20:00:00+01:00,18665.0,0.0,8092.0,0.0,7789.0,1253.0,0.0,6539.0,14631.0
2020-01-08 21:00:00+01:00,18033.0,0.0,7593.0,0.0,7791.0,1239.0,0.0,6570.0,14163.0
2020-01-08 22:00:00+01:00,17214.0,0.0,6518.0,0.0,7791.0,1195.0,0.0,6603.0,13121.0
2020-01-08 23:00:00+01:00,16305.0,0.0,5561.0,0.0,7792.0,1143.0,0.0,6657.0,12218.0
2020-01-09 00:00:00+01:00,15758.0,0.0,5329.0,0.0,7792.0,1091.0,0.0,6732.0,12061.0
2020-01-09 01:00:00+01:00,15415.0,0.0,5047.0,0.0,7793.0,1105.0,0.0,6748.0,11795.0
2020-01-09 02:00:00+01:00,15473.0,0.0,5060.0,0.0,7794.0,1098.0,0.0,6691.0,11751.0
2020-01-09 03:00:00+01:00,15485.0,0.0,5206.0,0.0,7792.0,1110.0,0.0,6591.0,11797.0
2020-01-09 04:00:00+01:00,15686.0,0.0,5447.0,0.0,7791.0,1119.0,0.0,6466.0,11913.0
2020-01-09 05:00:00+01:00,16644.0,0.0,6528.0,0.0,7790.0,1190.0,0.0,6241.0,12769.0
2020-01-09 06:00:00+01:00,18523.0,0.0,7860.0,0.0,7790.0,1226.0,0.0,6056.0,13916.0
2020-01-09 07:00:00+01:00,20154.0,0.0,8453.0,0.0,7788.0,1300.0,0.0,5819.0,14272.0
2020-01-09 08:00:00+01:00,20776.0,0.0,8746.0,0.0,7790.0,1316.0,0.0,5491.0,14237.0
